Code,Food Name,대분류,중분류,fc,vg,cs,si
B11001,BLT샌드위치,일반외식 및 배달음식,배달음식,FC10S04,VG07,CS12,"SI06, SI01"
B11002,간장반후라이드반치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI02, SI08, SI09"
B11003,간장치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI02, SI08, SI09"
B11004,갈비치킨,일반외식 및 배달음식,배달음식,FC22S05,VG07,CS13,"SI01, SI02, SI07, SI08"
B11005,감자토스트,일반외식 및 배달음식,배달음식,FC10S04,VG03,CS12,"SI01, SI06"
B11006,계란토스트,일반외식 및 배달음식,배달음식,FC10S04,VG07,CS12,"SI08, SI06"
B11007,고구마피자(씬),일반외식 및 배달음식,배달음식,FC10S10,VG04,CS13,"SI08, SI01, SI09, SI06"
B11009,곱창떡볶이,일반외식 및 배달음식,배달음식,FC09S02,VG07,CS01,"SI04, SI07, SI08"
B11010,김치알컵밥,일반외식 및 배달음식,배달음식,FC08S03,VG05,CS01,SI08
B11011,김치참치마요컵밥,일반외식 및 배달음식,배달음식,FC08S03,VG05,CS13,"SI08, SI06"
B11012,김치참치컵밥,일반외식 및 배달음식,배달음식,FC08S03,VG05,CS13,SI08
B11013,까르보나라떡볶이,일반외식 및 배달음식,배달음식,FC09S02,VG07,CS13,SI01
B11016,꼬막짬뽕,일반외식 및 배달음식,배달음식,FC07S06,VG05,CS13,"SI01, SI02"
B11019,닭가슴살샌드위치,일반외식 및 배달음식,배달음식,FC10S04,VG06,CS12,"SI06, SI01"
B11020,닭갈비컵밥,일반외식 및 배달음식,배달음식,FC08S03,VG06,CS01,SI02
B11024,닭윙&닭다리간장치킨,일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI02, SI08, SI09"
B11025,닭윙&닭다리양념치킨,일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI02, SI04, SI08"
B11026,닭윙간장치킨,일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI02, SI08, SI09"
B11027,닭윙양념치킨,일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI02, SI04, SI08"
B11028,닭윙후라이드치킨,일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,SI01
B11029,돈가스김밥,일반외식 및 배달음식,배달음식,FC08S02,VG07,CS13,"SI01, SI02"
B11030,딸기샌드위치,일반외식 및 배달음식,배달음식,FC10S04,VG02,CS12,SI08
B11031,땅콩샌드위치,일반외식 및 배달음식,배달음식,FC10S04,VG02,CS12,SI08
B11032,땡초김밥,일반외식 및 배달음식,배달음식,FC08S02,VG05,CS01,"SI08, SI01, SI02"
B11033,땡초멸치김밥,일반외식 및 배달음식,배달음식,FC08S02,VG05,CS01,"SI02, SI01, SI08"
B11034,떡강정,일반외식 및 배달음식,배달음식,FC22S01,VG01,CS01,"SI08, SI04, SI06, SI09"
B11035,로제돈가스,일반외식 및 배달음식,배달음식,FC22S03,VG07,CS13,"SI01, SI06"
B11037,마늘치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI02, SI07, SI08, SI10"
B11038,마라떡볶이,일반외식 및 배달음식,배달음식,FC09S02,VG05,CS13,"SI03, SI04, SI05, SI08"
B11039,마요치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,VG06,CS13,"SI01, SI07, SI11, SI06"
B11040,멸치김밥,일반외식 및 배달음식,배달음식,FC08S02,VG05,CS01,"SI01, SI08, SI02"
B11042,바질샌드위치,일반외식 및 배달음식,배달음식,FC10S04,VG07,CS12,SI06
B11043,반미샌드위치,일반외식 및 배달음식,배달음식,FC10S04,VG07,CS13,"SI01, SI02, SI08, SI06"
B11044,베이컨샌드위치,일반외식 및 배달음식,배달음식,FC10S04,VG07,CS12,SI06
B11045,베이컨치즈버거,일반외식 및 배달음식,배달음식,FC10S03,VG07,CS12,"SI01, SI06"
B11046,베이컨토스트,일반외식 및 배달음식,배달음식,FC10S04,VG07,CS12,SI06
B11047,베이컨포테이토피자,일반외식 및 배달음식,배달음식,FC10S10,VG07,CS12,"SI01, SI08, SI06"
