Code,Food Name,대분류,중분류,fc,vg,cs,si
A13001,가자미구이,특수외식메뉴,향토음식,FC03S02,VG05,CS01,SI01
A13002,개불,특수외식메뉴,향토음식,FC24S01,VG05,CS01,
A13003,광어회,특수외식메뉴,향토음식,FC24S01,VG05,CS01,
A13004,나주곰탕,특수외식메뉴,향토음식,FC04S04,VG07,CS01,SI01
A13005,낙지탕탕이,특수외식메뉴,향토음식,FC24S01,VG01,CS01,SI01
A13006,낙지호롱,특수외식메뉴,향토음식,FC03S02,VG05,CS01,"SI04, SI09"
A13007,내장볶음,특수외식메뉴,향토음식,FC09S04,VG07,CS01,"SI04, SI02, SI08"
A13008,대구뽈찜,특수외식메뉴,향토음식,FC21S02,VG05,CS01,"SI01, SI02"
A13009,대구탕,특수외식메뉴,향토음식,FC04S03,VG05,CS01,"SI02, SI01"
A13010,대하구이,특수외식메뉴,향토음식,FC03S02,VG05,CS01,SI01
A13011,대하찜,특수외식메뉴,향토음식,FC21S02,VG05,CS01,SI01
A13012,막회,특수외식메뉴,향토음식,FC24S01,VG05,CS01,
A13013,멍게(활),특수외식메뉴,향토음식,FC24S01,VG05,CS01,
A13014,멍게비빔밥,특수외식메뉴,향토음식,FC08S06,VG05,CS01,"SI01, SI04"
A13015,물갈비,특수외식메뉴,향토음식,FC20S02,VG07,CS01,"SI02, SI08"
A13016,물회,특수외식메뉴,향토음식,FC24S01,VG05,CS01,"SI04, SI08"
A13017,반계탕,특수외식메뉴,향토음식,FC04S04,VG07,CS01,SI01
A13018,북어찜,특수외식메뉴,향토음식,FC21S02,VG05,CS01,"SI02, SI04, SI08"
A13019,산낙지회,특수외식메뉴,향토음식,FC24S01,VG05,CS01,
A13020,소라숙회,특수외식메뉴,향토음식,FC24S01,VG05,CS01,SI01
A13021,술국,특수외식메뉴,향토음식,FC20S02,VG07,CS01,"SI02, SI03"
A13022,아바이순대,특수외식메뉴,향토음식,FC21S03,VG07,CS01,"SI02, SI01"
A13023,알내장탕,특수외식메뉴,향토음식,FC04S03,VG05,CS01,"SI02, SI01"
A13024,어탕국수,특수외식메뉴,향토음식,FC07S01,VG05,CS01,"SI02, SI01"
A13025,얼큰황태우거지탕,특수외식메뉴,향토음식,FC04S03,VG05,CS01,SI03
A13026,오징어회,특수외식메뉴,향토음식,FC24S01,VG05,CS01,
A13027,장어탕,특수외식메뉴,향토음식,FC04S03,VG05,CS01,"SI03, SI01"
A13028,장어튀김,특수외식메뉴,향토음식,FC22S02,VG05,CS01,SI01
A13029,초계국수,특수외식메뉴,향토음식,FC07S01,VG06,CS01,"SI08, SI01, SI02"
A13030,초계탕,특수외식메뉴,향토음식,FC04S04,VG06,CS01,SI01
A13031,추어만두,특수외식메뉴,향토음식,FC07S04,VG05,CS01,SI01
A13032,추어전,특수외식메뉴,향토음식,FC16S03,VG05,CS01,SI01
A13033,추어전골,특수외식메뉴,향토음식,FC20S01,VG05,CS01,"SI01, SI02, SI03, SI04"
A13034,추어칼국수,특수외식메뉴,향토음식,FC07S01,VG05,CS01,"SI03, SI01, SI02"
A13035,추어튀김,특수외식메뉴,향토음식,FC22S02,VG05,CS01,SI01
A13036,해신탕,특수외식메뉴,향토음식,FC04S03,VG06,CS01,SI01
A13037,해천탕,특수외식메뉴,향토음식,FC04S03,VG06,CS01,SI01
A13038,황태국,특수외식메뉴,향토음식,FC04S03,VG05,CS01,SI02
A13039,황태국밥,특수외식메뉴,향토음식,FC04S01,VG06,CS01,SI02
A13040,황태닭개장,특수외식메뉴,향토음식,FC20S02,VG06,CS01,"SI02, SI04"
A13041,황태닭곰탕,특수외식메뉴,향토음식,FC04S04,VG06,CS01,SI01
A13042,황태떡국,특수외식메뉴,향토음식,FC04S01,VG05,CS01,"SI02, SI01"
A13043,황태만두국,특수외식메뉴,향토음식,FC04S01,VG05,CS01,"SI01, SI02"
A13044,황태미역국,특수외식메뉴,향토음식,FC04S05,VG05,CS01,SI02
A13045,황태부대찌개,특수외식메뉴,향토음식,FC20S02,VG07,CS13,"SI04, SI01"
A13046,황태육개장,특수외식메뉴,향토음식,FC20S01,VG05,CS01,SI02
A13047,황태전골,특수외식메뉴,향토음식,FC20S01,VG05,CS01,"SI01, SI02"
A13048,황태찜,특수외식메뉴,향토음식,FC21S02,VG05,CS01,"SI04, SI08, SI07, SI02"
A13049,황태콩나물해장국,특수외식메뉴,향토음식,FC20S03,VG05,CS01,"SI01, SI02"
A14001,가라아케,특수외식메뉴,외국음식,FC22S03,VG06,CS03,"SI01, SI02"
A14002,가이 팟 퐁 커리,특수외식메뉴,외국음식,FC03S03,VG06,CS04,"SI01, SI02, SI05, SI08"
A14003,가지만두,특수외식메뉴,외국음식,FC07S04,VG07,CS02,SI01
A14004,갈릭난,특수외식메뉴,외국음식,FC10S01,VG02,CS06,"SI08, SI01"
A14005,감바스,특수외식메뉴,외국음식,FC09S03,VG05,CS10,SI01
A14006,감자그라탕,특수외식메뉴,외국음식,FC08S04,VG07,CS08,"SI08, SI06, SI01"
A14007,건두부볶음,특수외식메뉴,외국음식,FC07S02,VG05,CS02,"SI08, SI05, SI03"
A14008,고구마그라탕,특수외식메뉴,외국음식,FC08S04,VG07,CS08,"SI06, SI01, SI08"
A14009,고르곤졸라피자,특수외식메뉴,외국음식,FC10S10,VG02,CS09,"SI10, SI08, SI01"
A14010,규동,특수외식메뉴,외국음식,FC08S03,VG07,CS03,"SI06, SI08, SI02"
A14011,김치나베,특수외식메뉴,외국음식,FC20S03,VG07,CS13,SI02
A14012,까르보나라파스타,특수외식메뉴,외국음식,FC07S05,VG07,CS09,SI01
A14013,까르보네피자,특수외식메뉴,외국음식,FC10S10,VG07,CS09,"SI08, SI01"
A14014,깐쇼새우,특수외식메뉴,외국음식,FC22S02,VG05,CS02,"SI06, SI02, SI08"
A14015,꽃빵,특수외식메뉴,외국음식,FC10S01,VG01,CS02,"SI08, SI01"
A14016,꿍 팟 퐁 커리,특수외식메뉴,외국음식,FC09S03,VG05,CS04,"SI01, SI02, SI05, SI08"
A14017,꿔바로우,특수외식메뉴,외국음식,FC22S03,VG07,CS02,"SI08, SI02"
A14018,나가사끼짬뽕,특수외식메뉴,외국음식,FC07S06,VG07,CS03,SI01
A14019,나시고랭볶음밥,특수외식메뉴,외국음식,FC08S05,VG05,CS06,"SI02, SI05, SI08"
A14020,나쵸,특수외식메뉴,외국음식,FC02S02,VG02,CS07,SI01
A14021,나폴리피자,특수외식메뉴,외국음식,FC10S10,VG02,CS09,"SI06, SI01"
A14022,난자완스,특수외식메뉴,외국음식,FC18S03,VG07,CS02,"SI01, SI02"
A14023,날치알크림파스타,특수외식메뉴,외국음식,FC07S05,VG02,CS13,SI01
A14024,냉라멘,특수외식메뉴,외국음식,FC07S03,VG07,CS03,"SI06, SI08, SI02"
A14025,닭고기쌀국수,특수외식메뉴,외국음식,FC07S02,VG06,CS05,"SI06, SI01"
A14026,돈부리덮밥,특수외식메뉴,외국음식,FC08S03,VG07,CS03,"SI08, SI02"
A14027,돈코츠라멘,특수외식메뉴,외국음식,FC07S03,VG07,CS03,"SI08, SI02, SI01"
A14028,돌체피자,특수외식메뉴,외국음식,FC10S10,VG01,CS09,"SI08, SI01, SI06"
A14029,동파육,특수외식메뉴,외국음식,FC18S03,VG07,CS02,"SI08, SI02, SI05"
A14030,또띠아피자,특수외식메뉴,외국음식,FC10S10,VG07,CS13,"SI06, SI08"
A14031,똠얌꿍,특수외식메뉴,외국음식,FC04S03,VG05,CS04,"SI06, SI11"
A14032,똠얌꿍쌀국수,특수외식메뉴,외국음식,FC07S02,VG05,CS04,"SI06, SI11"
A14033,라조기,특수외식메뉴,외국음식,FC22S03,VG06,CS02,"SI04, SI06, SI07"
A14034,로스카츠(등심),특수외식메뉴,외국음식,FC22S03,VG07,CS03,"SI06, SI01"
A14035,로제리조또,특수외식메뉴,외국음식,FC08S04,VG07,CS09,"SI01, SI06, SI08"
A14036,로제파스타,특수외식메뉴,외국음식,FC07S05,VG07,CS09,"SI06, SI01"
A14037,루꼴라피자,특수외식메뉴,외국음식,FC10S10,VG02,CS09,"SI06, SI08, SI01"
A14038,마라롱샤,특수외식메뉴,외국음식,FC09S03,VG05,CS02,"SI02, SI05, SI08, SI03"
A14039,마라빤,특수외식메뉴,외국음식,FC04S05,VG07,CS02,"SI01, SI05, SI08, SI02, SI06"
A14040,마라살꼬치,특수외식메뉴,외국음식,FC03S03,VG07,CS02,"SI02, SI05, SI08, SI03, SI01"
A14041,마라샹궈,특수외식메뉴,외국음식,FC09S04,VG07,CS02,"SI08, SI05, SI03, SI02"
A14042,마라쇼룽샤,특수외식메뉴,외국음식,FC09S03,VG05,CS02,"SI02, SI03, SI05, SI08"
A14043,마라쌀국수,특수외식메뉴,외국음식,FC07S02,VG07,CS13,"SI08, SI05, SI03, SI02"
A14044,마라탕,특수외식메뉴,외국음식,FC07S06,VG07,CS02,"SI02, SI03, SI05, SI08"
A14045,마르게리따피자,특수외식메뉴,외국음식,FC10S10,VG02,CS09,SI01
A14046,마살라커리,특수외식메뉴,외국음식,FC19S01,VG06,CS06,"SI06, SI01, SI11"
A14047,매운해물쌀국수,특수외식메뉴,외국음식,FC07S02,VG05,CS05,"SI06, SI01"
A14048,맥앤치즈,특수외식메뉴,외국음식,FC18S01,VG02,CS12,SI01
