code,name,fc,vg,cs,si,loc
A13001,가자미구이,FC03S02,VG05,CS01,SI01,RC10
A13002,개불,FC24S01,VG05,CS01,,RC10
A13003,광어회,FC24S01,VG05,CS01,,RC10
A13004,나주곰탕,FC04S04,VG07,CS01,SI01,RC07
A13005,낙지탕탕이,FC24S01,VG01,CS01,SI01,RC10
A13006,낙지호롱,FC03S02,VG05,CS01,"SI04, SI09",RC07
A13007,내장볶음,FC09S04,VG07,CS01,"SI04, SI02, SI08",RC10
A13008,대구뽈찜,FC21S02,VG05,CS01,"SI01, SI02",RC05
A13009,대구탕,FC04S03,VG05,CS01,"SI02, SI01",RC10
A13010,대하구이,FC03S02,VG05,CS01,SI01,RC10
A13011,대하찜,FC21S02,VG05,CS01,SI01,RC10
A13012,막회,FC24S01,VG05,CS01,,RC10
A13013,멍게(활),FC24S01,VG05,CS01,,RC10
A13014,멍게비빔밥,FC08S06,VG05,CS01,"SI01, SI04",RC10
A13015,물갈비,FC20S02,VG07,CS01,"SI02, SI08",RC10
A13016,물회,FC24S01,VG05,CS01,"SI04, SI08",RC10
A13017,반계탕,FC04S04,VG07,CS01,SI01,RC10
A13018,북어찜,FC21S02,VG05,CS01,"SI02, SI04, SI08",RC10
A13019,산낙지회,FC24S01,VG05,CS01,,RC07
A13020,소라숙회,FC24S01,VG05,CS01,SI01,RC10
A13021,술국,FC20S02,VG07,CS01,"SI02, SI03",RC10
A13022,아바이순대,FC21S03,VG07,CS01,"SI02, SI01",RC10
A13023,알내장탕,FC04S03,VG05,CS01,"SI02, SI01",RC10
A13024,어탕국수,FC07S01,VG05,CS01,"SI02, SI01",RC05
A13025,얼큰황태우거지탕,FC04S03,VG05,CS01,SI03,RC10
A13026,오징어회,FC24S01,VG05,CS01,,RC02
A13027,장어탕,FC04S03,VG05,CS01,"SI03, SI01",RC07
A13028,장어튀김,FC22S02,VG05,CS01,SI01,RC10
A13029,초계국수,FC07S01,VG06,CS01,"SI08, SI01, SI02",RC10
A13030,초계탕,FC04S04,VG06,CS01,SI01,RC10
A13031,추어만두,FC07S04,VG05,CS01,SI01,RC10
A13032,추어전,FC16S03,VG05,CS01,SI01,RC10
A13033,추어전골,FC20S01,VG05,CS01,"SI01, SI02, SI03, SI04",RC10
A13034,추어칼국수,FC07S01,VG05,CS01,"SI03, SI01, SI02",RC10
A13035,추어튀김,FC22S02,VG05,CS01,SI01,RC10
A13036,해신탕,FC04S03,VG06,CS01,SI01,RC10
A13037,해천탕,FC04S03,VG06,CS01,SI01,RC10
A13038,황태국,FC04S03,VG05,CS01,SI02,RC10
