code,name,fc,vg,cs,si,loc
C01001,감자떡,FC01S02,VG01,CS01,"SI08, SI01",RC10
C01002,영양떡,FC01S02,VG01,CS01,"SI01, SI08",RC10
C01003,고구마떡,FC01S02,VG01,CS01,"SI01, SI08",RC10
C01004,망개떡,FC01S02,VG01,CS01,"SI08, SI01, SI10",RC10
C01005,모시떡,FC01S02,VG01,CS01,SI01,RC06
C01006,모시송편,FC01S02,VG01,CS01,"SI01, SI08",RC05
C01007,무지개떡,FC01S02,VG01,CS01,"SI08, SI01",RC01
C01008,밤떡,FC01S02,VG01,CS01,"SI08, SI01",RC10
C01009,빙떡,FC01S02,VG01,CS01,SI01,RC10
C01010,소떡소떡,FC03S01,VG07,CS13,"SI04, SI06, SI02, SI08",RC10
C01011,술떡,FC01S02,VG01,CS01,"SI01, SI08",RC02
C01012,쑥떡,FC01S02,VG01,CS01,"SI01, SI08",RC09
C01013,쑥버무리,FC01S02,VG01,CS01,"SI08, SI01",RC10
C01014,씨앗호떡,FC03S01,VG01,CS01,"SI01, SI08",RC10
C01015,앙금절편,FC01S02,VG01,CS01,,RC10
C01016,약밥,FC01S01,VG01,CS01,"SI02, SI08",RC09
C01017,오메기떡,FC01S02,VG01,CS01,"SI08, SI01",RC09
C01018,옥수수떡,FC01S02,VG01,CS01,"SI01, SI10",RC10
C01019,콩떡,FC01S02,VG01,CS01,"SI01, SI08",RC10
C01020,호떡,FC01S02,VG01,CS01,"SI01, SI08",RC10
C01021,호박송편,FC01S02,VG01,CS01,"SI08, SI01",RC10
C02002,감자빵,FC10S01,VG02,CS13,"SI08, SI01",RC10
C02003,감자핫도그,FC10S04,VG07,CS13,"SI01, SI06",RC10
C02004,게살고로케,FC10S01,VG05,CS13,SI01,RC10
C02005,경주빵,FC10S06,VG04,CS13,"SI08, SI06, SI01",RC10
C02006,경주찰보리빵,FC10S06,VG04,CS13,"SI08, SI01",RC10
C02007,계란빵,FC10S06,VG07,CS13,SI01,RC10
C02008,고구마식빵,FC10S05,VG03,CS13,"SI09, SI01, SI08",RC10
C02009,고구마케이크,FC10S07,VG04,CS13,"SI08, SI06",RC10
C02011,고구마핫도그,FC10S04,VG07,CS13,SI06,RC10
C02013,치즈볼,FC22S01,VG03,CS12,"SI08, SI01",RC10
C02014,까눌레,FC10S09,VG04,CS12,SI08,RC10
C02015,깜빠뉴,FC10S05,VG01,CS08,"SI08, SI01",RC10
C02016,깨찰빵,FC10S01,VG03,CS13,"SI02, SI08, SI01",RC10
C02018,녹차롤케잌,FC10S07,VG04,CS12,"SI06, SI08, SI07, SI01",RC10
C02019,녹차마카롱,FC10S01,VG04,CS08,"SI08, SI06",RC10
C02022,단팥크림빵,FC10S08,VG04,CS13,"SI08, SI06, SI01",RC10
C02023,단호박크럼블,FC10S01,VG03,CS13,"SI08, SI01",RC10
C02024,당근케이크,FC10S07,VG04,CS12,"SI08, SI06, SI01",RC10
C02026,딸기마카롱,FC10S01,VG04,CS08,"SI08, SI06",RC10
C02027,딸기케이크,FC10S07,VG04,CS12,"SI08, SI01, SI06",RC10
C02028,딸기크레이프,FC10S07,VG04,CS08,"SI08, SI01, SI06",RC10
C02029,딸기크로와상,FC10S09,VG04,CS12,"SI06, SI01, SI08",RC10
C02031,딸기타르트,FC02S04,VG04,CS08,"SI08, SI06",RC10
C02032,러스크,FC02S04,VG02,CS08,SI08,RC10
C02033,레인보우케이크,FC10S07,VG04,CS12,"SI08, SI01, SI06",RC10
C02035,마늘빵,FC10S05,VG02,CS12,"SI08, SI01",RC10
C02036,마들렌,FC10S07,VG04,CS08,"SI08, SI01",RC10
C02037,말차까눌레,FC10S09,VG04,CS13,SI08,RC10
C02039,머랭쿠키,FC02S04,VG03,CS08,SI08,RC10
C02041,명란바게트,FC10S05,VG05,CS13,"SI06, SI01, SI08, SI07",RC10
C02043,모카번,FC10S08,VG04,CS12,"SI01, SI08, SI06",RC10
C02044,민트초코마카롱,FC02S01,VG01,CS12,"SI08, SI06",RC10
C02045,밀크크레이프,FC10S01,VG04,CS08,"SI08, SI01, SI06",RC10
C02047,바나나와플,FC10S05,VG02,CS08,"SI08, SI01, SI10",RC10
C02048,바닐라마카롱,FC10S01,VG04,CS12,"SI08, SI06",RC10
C02049,바닐라머핀,FC10S01,VG04,CS08,"SI08, SI01",RC10
C02051,밤식빵,FC10S01,VG04,CS12,"SI09, SI01, SI08",RC10
C02052,피자호빵,FC10S05,VG04,CS13,"SI01, SI08, SI06",RC10
C02053,버터크림빵,FC10S06,VG07,CS13,"SI08, SI01, SI06",RC10
C02054,불고기파니니,FC10S08,VG04,CS12,SI06,RC10
C02055,브라우니,FC10S04,VG07,CS13,"SI08, SI01",RC10
C02056,블루베리마카롱,FC10S07,VG04,CS12,"SI08, SI06",RC10
C02062,생크림와플,FC10S01,VG04,CS12,"SI08, SI01, SI06",RC10
C02063,생크림케이크,FC10S05,VG04,CS12,"SI08, SI06",RC10
C02064,생크림크로플,FC10S01,VG04,CS12,"SI08, SI06",RC10
C02065,소금빵,FC10S07,VG04,CS12,"SI08, SI01",RC10
C02068,소시지고로케,FC10S01,VG04,CS13,"SI06, SI01",RC10
C02069,소시지빵,FC10S09,VG07,CS12,"SI06, SI01, SI08",RC10
C02072,시나몬롤,FC10S08,VG04,CS13,"SI08, SI01",RC10
C02073,시나몬크로플,FC10S09,VG04,CS12,"SI08, SI10",RC10
C02074,아몬드크로와상,FC10S09,VG04,CS12,SI08,RC10
C02075,아이스크림와플,FC10S01,VG04,CS13,"SI08, SI01",RC10
C02076,아이스크림크로플,FC10S09,VG04,CS12,SI08,RC10
C02077,앙버터치아바타,FC10S01,VG04,CS12,SI01,RC10
C02078,앙버터크로와상,FC10S01,VG04,CS13,SI08,RC10
C02079,앙버터호두과자,FC10S04,VG02,CS13,"SI08, SI01",RC10
C02081,애플파이,FC10S06,VG04,CS13,"SI01, SI08, SI10",RC10
C02084,얼그레이마카롱,FC10S01,VG07,CS13,"SI08, SI06",RC10
C02085,에그타르트,FC10S09,VG04,CS13,"SI08, SI01, SI06",RC10
C02086,연유빵,FC10S01,VG04,CS08,"SI08, SI01, SI06",RC10
C02087,연유크림빵,FC02S04,VG04,CS12,"SI06, SI08, SI01",RC10
C02088,오트밀식빵,FC10S01,VG04,CS13,"SI09, SI01, SI08",RC10
C02089,옥수수빵,FC10S08,VG04,CS13,"SI08, SI01",RC10
C02092,우유마카롱,FC10S01,VG04,CS13,"SI08, SI06",RC10
C02094,우유크림빵,FC10S06,VG03,CS13,"SI01, SI08, SI06",RC10
C02095,인절미크로플,FC10S01,VG04,CS08,SI08,RC10
C02096,잡채고로케,FC10S05,VG04,CS13,"SI01, SI02, SI08",RC10
C02097,젤리롤케잌,FC10S08,VG02,CS13,"SI08, SI07, SI01",RC10
C02099,찹쌀꽈배기,FC10S01,VG03,CS13,"SI08, SI01",RC10
C02102,초코까눌레,FC10S02,VG04,CS13,SI08,RC10
C02103,초코롤케잌,FC10S02,VG02,CS13,"SI06, SI08, SI07, SI01",RC10
C02104,초코마카롱,FC10S06,VG04,CS13,"SI08, SI06",RC10
C02105,초코머핀,FC10S09,VG04,CS13,"SI08, SI01",RC10
C02107,초코소라빵,FC10S01,VG04,CS08,"SI08, SI01, SI06",RC10
C02108,초코스콘,FC10S07,VG04,CS12,"SI08, SI01",RC10
C02109,초코아이스크림와플,FC10S05,VG01,CS12,"SI08, SI01",RC10
C02111,팥붕어빵,FC10S01,VG04,CS12,"SI01, SI08",RC10
C02112,초코케이크,FC10S01,VG04,CS12,SI08,RC10
C02113,초코크레이프,FC10S01,VG04,CS12,"SI08, SI01, SI06",RC10
C02114,초코크로와상,FC10S06,VG04,CS13,SI08,RC10
C02115,초코크로플,FC10S07,VG04,CS12,SI08,RC10
C02116,초코파운드,FC10S07,VG04,CS08,"SI08, SI06",RC10
C02117,치아바타,FC10S09,VG04,CS12,SI01,RC10
C02118,치즈번,FC10S01,VG04,CS13,"SI01, SI08, SI06",RC10
C02119,치즈케이크,FC10S07,VG04,CS12,"SI06, SI08",RC10
C02123,카스테라,FC10S01,VG04,CS13,"SI08, SI10, SI01",RC10
C02124,야채호빵,FC10S01,VG04,CS08,"SI05, SI01, SI08",RC10
C02126,쿠키슈,FC10S07,VG04,CS12,"SI08, SI06, SI01",RC10
C02127,퀸아망,FC10S06,VG05,CS13,"SI01, SI08",RC10
C02128,크로칸슈,FC10S07,VG04,CS13,"SI01, SI06, SI08",RC10
C02129,크로크무슈,FC10S08,VG04,CS13,SI01,RC10
C02131,크림치즈베이글,FC02S01,VG02,CS12,"SI08, SI01",RC10
C02132,크림치즈호두빵,FC10S08,VG04,CS13,"SI08, SI01",RC10
C02133,통밀식빵,FC10S04,VG07,CS08,"SI01, SI08",RC10
C02135,티라미수,FC10S05,VG02,CS12,"SI06, SI08",RC10
C02136,파네토네,FC10S01,VG04,CS12,"SI01, SI08, SI11, SI10",RC10
C02137,플레인베이글,FC10S05,VG04,CS12,"SI08, SI01",RC10
C02138,플레인스콘,FC10S01,VG04,CS13,"SI08, SI01",RC10
C02139,플레인크로플,FC10S07,VG04,CS09,SI08,RC10
C02141,핫도그,FC10S05,VG01,CS12,"SI08, SI06, SI01",RC10
C02142,햄치즈베이글,FC10S01,VG04,CS12,"SI08, SI01",RC10
C02145,호두빵,FC10S01,VG07,CS12,"SI08, SI01",RC10
C02146,호두타르트,FC10S04,VG07,CS12,"SI01, SI10, SI08",RC10
C02147,황치즈마카롱,FC10S04,VG07,CS09,"SI08, SI06",RC10
C02148,후레쉬빵,FC10S06,VG04,CS13,SI08,RC10
C02149,휘낭시에,FC10S01,VG02,CS13,"SI08, SI10, SI01",RC10
C03150,김치낙지죽,FC02S04,VG04,CS12,"SI02, SI01",RC10
C03151,김치죽,FC10S01,VG04,CS08,"SI02, SI01",RC10
C03152,낙지죽,FC10S01,VG04,CS13,SI01,RC10
C03153,녹두죽,FC10S07,VG04,CS08,SI01,RC10
C03157,흑임자죽,FC19S02,VG01,CS01,SI01,RC10
C04001,브로콜리수프,FC19S02,VG06,CS01,"SI06, SI01",RC10
C04002,쇠고기수프,FC19S02,VG07,CS01,"SI06, SI01",RC10
C04004,콘수프,FC19S02,VG01,CS01,SI01,RC10
C04005,크림수프,FC19S01,VG02,CS12,SI01,RC10
C06002,블루베리시리얼,FC19S01,VG02,CS12,,RC10
C06003,오레오시리얼,FC19S01,VG02,CS12,,RC10
C06004,오트밀시리얼,FC19S01,VG02,CS12,SI10,RC10
C06005,그래놀라시리얼,FC02S01,VG02,CS12,"SI10, SI09",RC10
C06006,닭가슴살,FC03S03,VG06,CS12,SI01,RC10
C06007,닭가슴살소시지,FC03S03,VG06,CS12,SI01,RC10
C06009,옥수수시리얼,FC02S01,VG02,CS12,,RC10
C06010,아몬드시리얼,FC02S01,VG02,CS12,,RC10
C06011,양념닭가슴살,FC03S03,VG06,CS12,"SI01, SI02, SI09",RC10
C06012,초코시리얼,FC02S01,VG02,CS12,,RC10
C06014,핫바(어묵소시지),FC22S02,VG06,CS13,"SI06, SI01",RC10
C06015,후르츠링시리얼,FC02S01,VG02,CS12,,RC10
C06016,훈제닭가슴살,FC03S03,VG06,CS12,SI01,RC10
C06017,훈제닭가슴살소시지,FC03S03,VG06,CS12,SI01,RC10
