Code,Food Name,대분류,중분류,fc,vg,cs,si
A13001,가자미구이,특수외식메뉴,향토음식,FC03S02,5,CS01,0
A13002,개불,특수외식메뉴,향토음식,FC24S01,5,CS01,0
A13003,광어회,특수외식메뉴,향토음식,FC24S01,5,CS01,0
A13004,나주곰탕,특수외식메뉴,향토음식,FC04S04,7,CS01,0
A13005,낙지탕탕이,특수외식메뉴,향토음식,FC24S01,1,CS01,0
A13006,낙지호롱,특수외식메뉴,향토음식,FC03S02,5,CS01,1
A13007,내장볶음,특수외식메뉴,향토음식,FC09S04,7,CS01,1
A13008,대구뽈찜,특수외식메뉴,향토음식,FC21S02,5,CS01,0
A13009,대구탕,특수외식메뉴,향토음식,FC04S03,5,CS01,0
A13010,대하구이,특수외식메뉴,향토음식,FC03S02,5,CS01,0
A13011,대하찜,특수외식메뉴,향토음식,FC21S02,5,CS01,0
A13012,막회,특수외식메뉴,향토음식,FC24S01,5,CS01,0
A13013,멍게(활),특수외식메뉴,향토음식,FC24S01,5,CS01,0
A13014,멍게비빔밥,특수외식메뉴,향토음식,FC08S06,5,CS01,1
A13015,물갈비,특수외식메뉴,향토음식,FC20S02,7,CS01,0
A13016,물회,특수외식메뉴,향토음식,FC24S01,5,CS01,1
A13017,반계탕,특수외식메뉴,향토음식,FC04S04,7,CS01,0
A13018,북어찜,특수외식메뉴,향토음식,FC21S02,5,CS01,1
A13019,산낙지회,특수외식메뉴,향토음식,FC24S01,5,CS01,0
A13020,소라숙회,특수외식메뉴,향토음식,FC24S01,5,CS01,0
A13021,술국,특수외식메뉴,향토음식,FC20S02,7,CS01,0
A13022,아바이순대,특수외식메뉴,향토음식,FC21S03,7,CS01,0
A13023,알내장탕,특수외식메뉴,향토음식,FC04S03,5,CS01,0
A13024,어탕국수,특수외식메뉴,향토음식,FC07S01,5,CS01,0
A13025,얼큰황태우거지탕,특수외식메뉴,향토음식,FC04S03,5,CS01,0
A13026,오징어회,특수외식메뉴,향토음식,FC24S01,5,CS01,0
A13027,장어탕,특수외식메뉴,향토음식,FC04S03,5,CS01,0
A13028,장어튀김,특수외식메뉴,향토음식,FC22S02,5,CS01,0
A13029,초계국수,특수외식메뉴,향토음식,FC07S01,6,CS01,0
A13030,초계탕,특수외식메뉴,향토음식,FC04S04,6,CS01,0
A13031,추어만두,특수외식메뉴,향토음식,FC07S04,5,CS01,0
A13032,추어전,특수외식메뉴,향토음식,FC16S03,5,CS01,0
A13033,추어전골,특수외식메뉴,향토음식,FC20S01,5,CS01,1
A13034,추어칼국수,특수외식메뉴,향토음식,FC07S01,5,CS01,0
A13035,추어튀김,특수외식메뉴,향토음식,FC22S02,5,CS01,0
A13036,해신탕,특수외식메뉴,향토음식,FC04S03,6,CS01,0
A13037,해천탕,특수외식메뉴,향토음식,FC04S03,6,CS01,0
A13038,황태국,특수외식메뉴,향토음식,FC04S03,5,CS01,0
A13039,황태국밥,특수외식메뉴,향토음식,FC04S01,6,CS01,0
A13040,황태닭개장,특수외식메뉴,향토음식,FC20S02,6,CS01,1
A13041,황태닭곰탕,특수외식메뉴,향토음식,FC04S04,6,CS01,0
A13042,황태떡국,특수외식메뉴,향토음식,FC04S01,5,CS01,0
A13043,황태만두국,특수외식메뉴,향토음식,FC04S01,5,CS01,0
A13044,황태미역국,특수외식메뉴,향토음식,FC04S05,5,CS01,0
A13045,황태부대찌개,특수외식메뉴,향토음식,FC20S02,7,CS13,1
A13046,황태육개장,특수외식메뉴,향토음식,FC20S01,5,CS01,0
A13047,황태전골,특수외식메뉴,향토음식,FC20S01,5,CS01,0
A13048,황태찜,특수외식메뉴,향토음식,FC21S02,5,CS01,1
A13049,황태콩나물해장국,특수외식메뉴,향토음식,FC20S03,5,CS01,0
A14011,김치나베,특수외식메뉴,외국음식,FC20S03,7,CS13,0
A14070,삼겹살스테이크,특수외식메뉴,외국음식,FC03S03,7,CS13,0
B11002,간장반후라이드반치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11003,간장치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11004,갈비치킨,일반외식 및 배달음식,배달음식,FC22S05,7,CS13,0
B11005,감자토스트,일반외식 및 배달음식,배달음식,FC10S04,3,CS12,0
B11006,계란토스트,일반외식 및 배달음식,배달음식,FC10S04,7,CS12,0
B11007,고구마피자(씬),일반외식 및 배달음식,배달음식,FC10S10,4,CS13,0
B11009,곱창떡볶이,일반외식 및 배달음식,배달음식,FC09S02,7,CS01,1
B11010,김치알컵밥,일반외식 및 배달음식,배달음식,FC08S03,5,CS01,0
B11011,김치참치마요컵밥,일반외식 및 배달음식,배달음식,FC08S03,5,CS13,0
B11012,김치참치컵밥,일반외식 및 배달음식,배달음식,FC08S03,5,CS13,0
B11020,닭갈비컵밥,일반외식 및 배달음식,배달음식,FC08S03,6,CS01,0
B11024,닭윙&닭다리간장치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11025,닭윙&닭다리양념치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,1
B11026,닭윙간장치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11027,닭윙양념치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,1
B11028,닭윙후라이드치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11032,땡초김밥,일반외식 및 배달음식,배달음식,FC08S02,5,CS01,0
B11033,땡초멸치김밥,일반외식 및 배달음식,배달음식,FC08S02,5,CS01,0
B11034,떡강정,일반외식 및 배달음식,배달음식,FC22S01,1,CS01,1
B11035,로제돈가스,일반외식 및 배달음식,배달음식,FC22S03,7,CS13,0
B11037,마늘치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11038,마라떡볶이,일반외식 및 배달음식,배달음식,FC09S02,5,CS13,1
B11039,마요치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11040,멸치김밥,일반외식 및 배달음식,배달음식,FC08S02,5,CS01,0
B11048,부대떡볶이,일반외식 및 배달음식,배달음식,FC09S02,7,CS13,1
B11049,불고기버거,일반외식 및 배달음식,배달음식,FC10S03,7,CS13,0
B11050,불고기컵밥,일반외식 및 배달음식,배달음식,FC08S03,7,CS01,0
B11051,불고기피자(씬),일반외식 및 배달음식,배달음식,FC10S10,7,CS13,0
B11053,불닭마요컵밥,일반외식 및 배달음식,배달음식,FC08S03,7,CS13,1
B11054,빨간참치김밥,일반외식 및 배달음식,배달음식,FC08S02,5,CS01,0
B11055,새우김밥,일반외식 및 배달음식,배달음식,FC08S02,5,CS01,0
B11062,순살간장반후라이드반치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11064,순살간장파닭,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11065,순살깐풍치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11066,순살로제치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11067,순살마늘치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11068,순살마요치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11069,순살양념반간장반치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,1
B11070,순살양념반후라이드반치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,1
B11073,순살어니언치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11074,순살크림(크리미)치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11075,순살파닭,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11076,순살후라이드치킨,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11079,스팸김치컵밥,일반외식 및 배달음식,배달음식,FC08S03,7,CS13,1
B11081,양념반간장반치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,6,CS13,1
B11082,양념반후라이드반치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,6,CS13,1
B11083,어니언치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11086,옛날통닭,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11087,우삼겹떡볶이,일반외식 및 배달음식,배달음식,FC09S02,7,CS01,1
B11090,자장떡볶이,일반외식 및 배달음식,배달음식,FC09S02,7,CS13,1
B11091,쟁반짜장,일반외식 및 배달음식,배달음식,FC07S06,7,CS13,0
B11094,제육컵밥,일반외식 및 배달음식,배달음식,FC08S03,7,CS01,1
B11096,차돌떡볶이,일반외식 및 배달음식,배달음식,FC09S02,7,CS01,1
B11098,참치마요덮밥,일반외식 및 배달음식,배달음식,FC08S03,5,CS13,0
B11099,참치마요컵밥,일반외식 및 배달음식,배달음식,FC08S03,5,CS13,0
B11100,참치샌드위치,일반외식 및 배달음식,배달음식,FC10S04,5,CS12,0
B11101,충무김밥,일반외식 및 배달음식,배달음식,FC08S02,5,CS01,0
B11104,치즈라볶이,일반외식 및 배달음식,배달음식,FC09S02,2,CS13,1
B11116,크림(크리미)치킨(뼈),일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11117,크림떡볶이,일반외식 및 배달음식,배달음식,FC09S02,7,CS13,0
B11120,파닭,일반외식 및 배달음식,배달음식,FC22S05,6,CS13,0
B11129,햄치즈토스트,일반외식 및 배달음식,배달음식,FC10S04,7,CS12,0
B11131,훈제양념치킨,일반외식 및 배달음식,배달음식,FC03S03,6,CS13,1
B11132,훈제치킨(뼈),일반외식 및 배달음식,배달음식,FC03S03,6,CS13,0
B12002,간장달걀밥,일반외식 및 배달음식,일반외식,FC08S06,3,CS01,0
B12003,간장닭갈비,일반외식 및 배달음식,일반외식,FC09S04,6,CS01,0
B12005,갈비전골,일반외식 및 배달음식,일반외식,FC20S02,7,CS01,0
B12007,갈치구이,일반외식 및 배달음식,일반외식,FC03S02,5,CS01,0
B12009,감자수제비,일반외식 및 배달음식,일반외식,FC07S02,5,CS01,0
B12011,검은콩국수,일반외식 및 배달음식,일반외식,FC07S01,1,CS01,0
B12012,게살볶음밥,일반외식 및 배달음식,일반외식,FC08S05,5,CS01,0
B12013,고구마돈가스,일반외식 및 배달음식,일반외식,FC22S03,7,CS13,0
B12014,고구마샐러드,일반외식 및 배달음식,일반외식,FC11S03,3,CS12,0
B12015,고구마치즈돈가스,일반외식 및 배달음식,일반외식,FC22S03,7,CS13,0
B12016,고기국수,일반외식 및 배달음식,일반외식,FC07S01,7,CS01,0
B12018,고추장불고기,일반외식 및 배달음식,일반외식,FC09S04,7,CS01,1
B12021,광어매운탕,일반외식 및 배달음식,일반외식,FC04S03,5,CS01,1
B12023,국물닭발,일반외식 및 배달음식,일반외식,FC18S03,6,CS01,1
B12024,굴국밥,일반외식 및 배달음식,일반외식,FC04S01,5,CS01,0
B12025,굴비구이,일반외식 및 배달음식,일반외식,FC03S02,5,CS01,0
B12027,김치찜,일반외식 및 배달음식,일반외식,FC21S04,7,CS01,1
B12034,낙지덮밥,일반외식 및 배달음식,일반외식,FC08S03,5,CS01,1
B12036,날치알주먹밥,일반외식 및 배달음식,일반외식,FC08S06,5,CS13,0
B12038,납작만두,일반외식 및 배달음식,일반외식,FC07S04,1,CS01,0
B12048,닭계장,일반외식 및 배달음식,일반외식,FC20S02,6,CS01,0
B12049,닭내장볶음,일반외식 및 배달음식,일반외식,FC09S04,6,CS01,0
B12050,닭모래집볶음,일반외식 및 배달음식,일반외식,FC09S04,6,CS01,0
B12051,닭발볶음,일반외식 및 배달음식,일반외식,FC09S04,6,CS01,1
B12053,돌솥비빔밥,일반외식 및 배달음식,일반외식,FC08S06,3,CS01,1
B12054,돼지간,일반외식 및 배달음식,일반외식,FC21S03,7,CS01,0
B12055,돼지두루치기,일반외식 및 배달음식,일반외식,FC09S04,7,CS01,1
B12056,돼지짜글이,일반외식 및 배달음식,일반외식,FC09S04,7,CS01,1
B12057,두부두루치기,일반외식 및 배달음식,일반외식,FC18S01,1,CS01,1
B12058,두부버섯전골,일반외식 및 배달음식,일반외식,FC20S03,5,CS01,0
B12059,두부샐러드,일반외식 및 배달음식,일반외식,FC11S03,1,CS12,0
B12061,등갈비찜,일반외식 및 배달음식,일반외식,FC21S03,7,CS01,1
B12062,떡만두라면,일반외식 및 배달음식,일반외식,FC07S03,7,CS13,0
B12063,떡만둣국,일반외식 및 배달음식,일반외식,FC07S04,7,CS01,0
B12064,로제찜닭,일반외식 및 배달음식,일반외식,FC21S03,6,CS13,0
B12067,마약옥수수,일반외식 및 배달음식,일반외식,FC01S01,4,CS13,0
B12072,먹태,일반외식 및 배달음식,일반외식,FC09S03,5,CS01,0
B12073,메밀만두,일반외식 및 배달음식,일반외식,FC07S04,7,CS01,0
B12074,메밀전,일반외식 및 배달음식,일반외식,FC16S06,1,CS01,0
B12075,멸치국수,일반외식 및 배달음식,일반외식,FC07S01,5,CS01,0
B12078,모둠순대,일반외식 및 배달음식,일반외식,FC21S03,7,CS01,0
B12079,무뼈닭발,일반외식 및 배달음식,일반외식,FC18S03,6,CS01,1
B12080,묵밥(묵사발),일반외식 및 배달음식,일반외식,FC08S01,5,CS01,0
B12082,묵은지감자탕,일반외식 및 배달음식,일반외식,FC04S04,7,CS01,0
B12084,물밀면,일반외식 및 배달음식,일반외식,FC07S02,7,CS01,0
B12085,민물새우튀김,일반외식 및 배달음식,일반외식,FC22S02,5,CS01,0
B12086,바지락된장찌개,일반외식 및 배달음식,일반외식,FC20S01,5,CS01,1
B12087,바지락칼국수,일반외식 및 배달음식,일반외식,FC07S01,5,CS01,0
B12092,불백(뚝배기불고기),일반외식 및 배달음식,일반외식,FC09S04,7,CS01,0
B12094,비빔막국수,일반외식 및 배달음식,일반외식,FC07S01,5,CS01,1
B12095,비빔밀면,일반외식 및 배달음식,일반외식,FC07S02,5,CS01,1
B12097,빈대떡,일반외식 및 배달음식,일반외식,FC16S02,7,CS01,0
B12098,빨계떡,일반외식 및 배달음식,일반외식,FC07S03,3,CS13,0
B12100,삼치구이,일반외식 및 배달음식,일반외식,FC03S02,5,CS01,0
B12101,새우만두,일반외식 및 배달음식,일반외식,FC07S04,7,CS01,0
B12104,생태찌개,일반외식 및 배달음식,일반외식,FC20S01,5,CS01,1
B12105,석갈비,일반외식 및 배달음식,일반외식,FC03S03,7,CS01,0
